TANGGAL,TAVG,RH_AVG,RR
1/1/2021,21.8,93,19.8
2/1/2021,21.4,96,12.5
3/1/2021,21.4,95,22.1
4/1/2021,20.8,98,8.5
5/1/2021,20.7,98,15
6/1/2021,21.5,93,55.5
7/1/2021,21.5,96,26.5
8/1/2021,21.5,96,32.5
9/1/2021,21.8,95,47.1
10/1/2021,22.3,93,0.9
11/1/2021,22.4,93,8888
12/1/2021,22,95,10.1
13-01-2021,22.1,94,25.4
14-01-2021,22.2,90,3.8
15-01-2021,21.8,93,
16-01-2021,21,93,0.8
17-01-2021,20.2,98,16.9
18-01-2021,20.9,95,41.5
19-01-2021,21.3,96,49.7
20-01-2021,21.8,92,13.4
21-01-2021,21.4,93,7
22-01-2021,20.5,96,8888
23-01-2021,20.6,96,9
24-01-2021,21.1,94,9.7
25-01-2021,20,98,41.6
26-01-2021,20,96,72.5
27-01-2021,21.6,94,124.9
28-01-2021,20.9,94,26.4
29-01-2021,21.2,93,47.4
30-01-2021,20.9,90,
31-01-2021,21.2,94,7.5
1/2/2021,22.3,94,40.8
2/2/2021,23.1,86,8
3/2/2021,21.7,93,15.3
4/2/2021,21.4,91,68.8
5/2/2021,22.2,90,0.9
6/2/2021,21.8,88,39.5
7/2/2021,21.9,88,2.5
8/2/2021,22.6,81,16.1
9/2/2021,22.6,91,19.9
10/2/2021,21.4,97,10.8
11/2/2021,21.8,95,31.5
12/2/2021,21.8,95,20.1
13-02-2021,21.4,95,41.1
14-02-2021,20.9,94,3.7
15-02-2021,21.5,96,50
16-02-2021,21.5,96,18.5
17-02-2021,21.4,94,43.9
18-02-2021,20.7,92,81.6
19-02-2021,22.3,91,8.2
20-02-2021,21.5,94,
21-02-2021,21.5,95,13.7
22-02-2021,21.8,94,38.1
23-02-2021,20.7,96,8888
24-02-2021,21.6,92,41.4
25-02-2021,21.6,95,22.3
26-02-2021,22.1,91,24.4
27-02-2021,21.2,92,2.8
28-02-2021,21.5,90,18
1/3/2021,21.6,93,
2/3/2021,21.1,94,0.6
3/3/2021,21.9,90,25.5
4/3/2021,20.6,96,1.5
5/3/2021,20.5,96,51
6/3/2021,20.5,96,28.9
