suhu,kelembaban,curah_hujan
21.8,93.0,19.8
21.4,96.0,12.5
21.4,95.0,22.1
20.8,98.0,8.5
20.7,98.0,15.0
21.5,93.0,55.5
21.5,96.0,26.5
21.5,96.0,32.5
21.8,95.0,47.1
22.3,93.0,0.9
22.4,93.0,12.371333333333334
22.0,95.0,10.1
22.1,94.0,25.4
22.2,90.0,3.8
21.8,93.0,42.190000000000005
21.0,93.0,0.8
20.2,98.0,16.9
20.9,95.0,41.5
21.3,96.0,49.7
21.8,92.0,13.4
21.4,93.0,7.0
20.5,96.0,35.777499999999996
20.6,96.0,9.0
21.1,94.0,9.7
20.0,98.0,41.6
20.0,96.0,72.5
21.6,94.0,124.9
20.9,94.0,26.4
21.2,93.0,47.4
20.9,90.0,2.5
21.2,94.0,7.5
22.3,94.0,40.8
23.1,86.0,8.0
21.7,93.0,15.3
21.4,91.0,68.8
22.2,90.0,0.9
21.8,88.0,39.5
21.9,88.0,2.5
22.6,81.0,16.1
22.6,91.0,19.9
21.4,97.0,10.8
21.8,95.0,31.5
21.8,95.0,20.1
21.4,95.0,41.1
20.9,94.0,3.7
21.5,96.0,50.0
21.5,96.0,18.5
21.4,94.0,43.9
20.7,92.0,81.6
22.3,91.0,8.2
21.5,94.0,16.53514285714286
21.5,95.0,13.7
21.8,94.0,38.1
20.7,96.0,10.040000000000001
21.6,92.0,41.4
21.6,95.0,22.3
22.1,91.0,24.4
21.2,92.0,2.8
21.5,90.0,18.0
21.6,93.0,46.03999999999999
21.1,94.0,0.6
21.9,90.0,25.5
20.6,96.0,1.5
20.5,96.0,51.0
20.5,96.0,28.9
21.3,94.0,0.4
21.1,94.0,7.0
21.5,93.0,1.0
21.6,93.0,44.2
21.3,93.0,14.280000000000001
21.4,90.0,127.4
20.5,95.0,2.0
19.6,96.0,12.5
21.6,93.0,47.4
21.8,92.0,7.3
21.4,92.0,1.5
20.4,96.0,25.03213636363636
21.6,92.0,35.4
21.4,96.0,5.8
21.1,96.0,31.5
22.0,94.0,12.2
21.6,96.0,7.44845238095238
22.2,94.0,147.9
21.6,96.0,11.4
21.8,96.0,16.7
21.8,94.0,37.1
21.7,95.0,29.3
22.7,88.0,11.484999999999998
21.7,95.0,0.0
21.1,96.0,24.84
22.9,87.0,3.8400000000000007
22.0,94.0,39.7
23.3,85.0,3.1
21.6,94.0,0.9
22.2,92.0,8.50675
22.1,95.0,48.13
21.9,94.0,2.0
21.8,93.0,1.5
22.0,92.0,83.8
21.8,92.0,4.5
22.1,91.0,31.7
21.9,91.0,4.24
21.5,92.0,33.5
21.7,92.0,0.7
21.5,88.0,13.2
23.1,83.0,0.0
21.3,90.0,0.0
22.8,84.0,0.0
21.9,86.0,2.4
20.9,85.0,0.0
21.0,87.0,1.2
21.4,83.0,0.0
21.0,88.0,0.0
21.0,90.0,3.75
22.1,89.0,2.35
21.8,86.0,0.885
21.9,91.0,2.0
21.4,92.0,1.965833333333333
21.9,94.0,3.3
23.1,87.0,16.04
22.1,87.0,9.175
22.6,87.0,0.0
21.9,88.0,8.0
22.5,88.0,0.0
21.5,94.0,23.1
22.2,90.0,0.2
22.4,92.0,0.0
20.7,92.0,20.5
20.4,86.0,0.18
22.4,85.0,0.0
23.1,86.0,1.6105119047619048
22.5,89.0,0.0
22.1,86.0,0.0
22.1,86.0,0.0
22.1,87.0,0.0
22.1,87.0,9.175
20.7,86.0,0.0
22.3,91.0,0.0
21.7,91.0,15.506666666666666
22.3,90.0,40.4
22.6,88.0,8.5
21.6,94.0,25.0
21.0,95.0,1.0
21.5,92.0,13.6
21.5,91.0,22.86142857142857
22.2,86.0,0.7
22.6,84.0,0.0
23.6,85.0,0.0
21.9,91.0,7.6
22.3,92.0,32.60409126984128
21.2,92.0,6.8
21.8,93.0,51.0
21.8,92.0,20.0
21.3,90.0,0.0
23.4,86.0,0.0
23.4,80.0,9.0
22.1,92.0,5.0
21.7,88.0,1.0
21.8,89.0,6.4816666666666665
22.4,85.0,0.2
23.3,90.0,0.2
22.9,90.0,26.0
21.4,94.0,23.0
21.0,89.0,19.7
22.2,87.0,3.0500000000000003
22.4,88.0,36.013333333333335
21.1,92.0,7.1
