Model,RMSE,MAE,NSE,R2
LSTM-PSO7,18.02296036509774,12.41261705092386,0.13362405560612656,0.13362405560612656
LSTM-PSO6,18.084067176180795,12.8987824157185,0.1277392043871518,0.1277392043871518
LSTM-PSO10,18.117337387489894,13.071032958207702,0.12452676375726945,0.12452676375726945
LSTM-PSO1,18.172745447613035,13.170856087792314,0.11916367437614328,0.11916367437614328
LSTM-PSO9,18.18023687684292,13.502127359776205,0.11843730277471753,0.11843730277471753
LSTM-PSO2,18.208494773148484,13.453529656564825,0.11569471285539179,0.11569471285539179
GRU,18.213002855018566,11.934135737183261,0.11525678383642068,0.11525678383642068
LSTM-PSO3,18.233120907221455,13.31284434851938,0.11330113260255248,0.11330113260255248
LSTM-PSO8,18.239219635987805,13.55924305040451,0.11270785618828005,0.11270785618828005
LSTM2 (80:20),18.27543419850501,13.739680786494226,0.10918086348686451,0.10918086348686451
LSTM-PSO5,18.29696641592034,13.604672952413722,0.10708049083578641,0.10708049083578641
LSTM-PSO4,18.298277359023338,13.751725476387042,0.10695253425764029,0.10695253425764029
LSTM1 (70:30),19.20142470218751,12.950621474670386,0.1273355259959904,0.1273355259959904
ARIMA,19.26034101287394,14.744019416785015,0.011597940479388114,0.011597940479388114
TES (Holt-Winters),65.86417515103518,59.13911693316654,-10.558572777099188,-10.558572777099188
