Skenario,w,c1,c2,Swarm,Iterasi,Fitness (val_loss),N1,N2,LR,Batch
LSTM-PSO1,0.7,1.5,2.0,10,10,0.01529,235,128,0.007556,16
LSTM-PSO2,0.8,1.5,2.0,10,10,0.01522,118,128,0.009793,16
LSTM-PSO3,0.9,1.5,2.0,10,10,0.01521,222,104,0.008952,16
LSTM-PSO4,0.9,1.5,1.5,10,10,0.01533,256,124,0.007432,32
LSTM-PSO5,0.9,1.5,2.0,10,10,0.01533,198,128,0.008819,16
LSTM-PSO6,0.9,2.0,2.0,10,10,0.0153,164,73,0.01,16
LSTM-PSO7,0.9,2.0,2.0,10,10,0.0151,192,103,0.009126,32
LSTM-PSO8,0.9,2.0,2.0,20,10,0.01518,146,113,0.01,32
LSTM-PSO9,0.9,2.0,2.0,10,10,0.01531,97,76,0.01,32
LSTM-PSO10,0.9,2.0,2.0,10,20,0.01522,241,124,0.008906,16
